event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec,is_augmented,original_channel,waveform_file,download_error,timing_info,npz_file
gfz2009inbh,2009-05-02T01:33:58.020000Z,-8.484,108.003,19.4,4.16,mb,,"Java, Indonesia",20,2009-05-02T01:35:17.050000Z,SMRI,GE,BHE,s,,,2009-05-02T01:34:43.530000Z,SMRI,GE,BHZ,p,,,33.52,False,,GE.SMRI.BH.gfz2009inbh.mseed,,"{'starttime': 1241228053.53, 'endtime': 1241228354.34, 'p_time': 1241228083.53, 's_time': 1241228117.05, 'channel_type': 'BH'}",GE.SMRI.BH.gfz2009inbh.npz
gfz2009ilut,2009-05-01T09:07:53.530000Z,-6.82,126.915,419.7,4.74,mb,,Banda Sea,83,2009-05-01T09:10:19.890000Z,MMRI,GE,BHE,s,,,2009-05-01T09:09:15.140000Z,MMRI,GE,BHZ,p,,,64.75,False,,GE.MMRI.BH.gfz2009ilut.mseed,,"{'starttime': 1241168925.14, 'endtime': 1241169225.95, 'p_time': 1241168955.14, 's_time': 1241169019.8899999, 'channel_type': 'BH'}",GE.MMRI.BH.gfz2009ilut.npz
gfz2009ilut,2009-05-01T09:07:53.530000Z,-6.82,126.915,419.7,4.74,mb,,Banda Sea,83,2009-05-01T09:10:49.130000Z,FAKI,GE,BHE,s,,,2009-05-01T09:09:31.370000Z,FAKI,GE,BHZ,p,,,77.76,False,,GE.FAKI.BH.gfz2009ilut.mseed,,"{'starttime': 1241168941.37, 'endtime': 1241169242.18, 'p_time': 1241168971.37, 's_time': 1241169049.1299999, 'channel_type': 'BH'}",GE.FAKI.BH.gfz2009ilut.npz
gfz2009ilut,2009-05-01T09:07:53.530000Z,-6.82,126.915,419.7,4.74,mb,,Banda Sea,83,2009-05-01T09:11:03.840000Z,LUWI,GE,BHN,s,,,2009-05-01T09:09:39.570000Z,LUWI,GE,BHZ,p,,,84.27,False,,GE.LUWI.BH.gfz2009ilut.mseed,,"{'starttime': 1241168949.57, 'endtime': 1241169250.38, 'p_time': 1241168979.57, 's_time': 1241169063.84, 'channel_type': 'BH'}",GE.LUWI.BH.gfz2009ilut.npz
gfz2009iayl,2009-04-25T10:23:35.850000Z,-7.38,119.536,428.5,4.24,mb,,Flores Sea,37,2009-04-25T10:25:33.820000Z,MMRI,GE,BHZ,s,,,2009-04-25T10:24:41.130000Z,MMRI,GE,BHZ,p,,,52.69,False,,GE.MMRI.BH.gfz2009iayl.mseed,,"{'starttime': 1240655051.1299999, 'endtime': 1240655351.94, 'p_time': 1240655081.1299999, 's_time': 1240655133.82, 'channel_type': 'BH'}",GE.MMRI.BH.gfz2009iayl.npz
gfz2009hmmo,2009-04-17T12:22:49.910000Z,2.413,128.255,186.2,4.49,mb,,"Halmahera, Indonesia",47,2009-04-17T12:23:54.670000Z,TNTI,GE,BHN,s,,,2009-04-17T12:23:25.890000Z,TNTI,GE,BHZ,p,,,28.78,False,,GE.TNTI.BH.gfz2009hmmo.mseed,,"{'starttime': 1239970975.8899999, 'endtime': 1239971276.7, 'p_time': 1239971005.8899999, 's_time': 1239971034.67, 'channel_type': 'BH'}",GE.TNTI.BH.gfz2009hmmo.npz
gfz2009hmmo,2009-04-17T12:22:49.910000Z,2.413,128.255,186.2,4.49,mb,,"Halmahera, Indonesia",47,2009-04-17T12:25:39.220000Z,LUWI,GE,BHN,s,,,2009-04-17T12:24:23.770000Z,LUWI,GE,BHZ,p,,,75.45,False,,GE.LUWI.BH.gfz2009hmmo.mseed,,"{'starttime': 1239971033.77, 'endtime': 1239971334.58, 'p_time': 1239971063.77, 's_time': 1239971139.22, 'channel_type': 'BH'}",GE.LUWI.BH.gfz2009hmmo.npz
gfz2009hadi,2009-04-10T17:58:02.600000Z,0.227,122.22,184.8,4.22,mb,,"Minahassa Peninsula, Sulawesi",40,2009-04-10T17:58:58.960000Z,LUWI,GE,BHZ,s,,,2009-04-10T17:58:34.260000Z,LUWI,GE,BHZ,p,,,24.7,False,,GE.LUWI.BH.gfz2009hadi.mseed,,"{'starttime': 1239386284.26, 'endtime': 1239386585.0700002, 'p_time': 1239386314.26, 's_time': 1239386338.96, 'channel_type': 'BH'}",GE.LUWI.BH.gfz2009hadi.npz
gfz2009gbpk,2009-03-28T07:31:07.400000Z,-3.332,102.745,194.6,4.2,mb,,"Southern Sumatra, Indonesia",36,2009-03-28T07:31:59.690000Z,MNAI,GE,BHZ,s,,,2009-03-28T07:31:37.880000Z,MNAI,GE,BHZ,p,,,21.81,False,,GE.MNAI.BH.gfz2009gbpk.mseed,,"{'starttime': 1238225467.88, 'endtime': 1238225768.6899998, 'p_time': 1238225497.88, 's_time': 1238225519.6899998, 'channel_type': 'BH'}",GE.MNAI.BH.gfz2009gbpk.npz
gfz2009fwex,2009-03-25T08:29:34.180000Z,1.851,99.323,157.4,4.28,mb,,"Northern Sumatra, Indonesia",23,2009-03-25T08:30:33.860000Z,GSI,GE,BHN,s,,,2009-03-25T08:30:08.370000Z,GSI,GE,BHZ,p,,,25.49,False,,GE.GSI.BH.gfz2009fwex.mseed,,"{'starttime': 1237969778.37, 'endtime': 1237970079.18, 'p_time': 1237969808.37, 's_time': 1237969833.86, 'channel_type': 'BH'}",GE.GSI.BH.gfz2009fwex.npz
gfz2009frwm,2009-03-22T23:36:14.730000Z,3.613,126.854,68.2,4.51,mb,,"Talaud Islands, Indonesia",33,2009-03-22T23:37:31.610000Z,TNTI,GE,BHZ,s,,,2009-03-22T23:36:57.080000Z,TNTI,GE,BHZ,p,,,34.53,False,,GE.TNTI.BH.gfz2009frwm.mseed,,"{'starttime': 1237764987.08, 'endtime': 1237765287.8899999, 'p_time': 1237765017.08, 's_time': 1237765051.61, 'channel_type': 'BH'}",GE.TNTI.BH.gfz2009frwm.npz
gfz2009frnu,2009-03-22T19:08:08.890000Z,-6.971,129.894,169.0,4.33,mb,,Banda Sea,19,2009-03-22T19:10:09.940000Z,FAKI,GE,BHZ,s,,,2009-03-22T19:09:18.550000Z,FAKI,GE,BHZ,p,,,51.39,False,,GE.FAKI.BH.gfz2009frnu.mseed,,"{'starttime': 1237748928.5500002, 'endtime': 1237749229.36, 'p_time': 1237748958.5500002, 's_time': 1237749009.94, 'channel_type': 'BH'}",GE.FAKI.BH.gfz2009frnu.npz
gfz2009fpfk,2009-03-21T12:43:02.930000Z,-7.22,129.414,165.8,4.54,mb,,Banda Sea,24,2009-03-21T12:45:12.650000Z,FAKI,GE,BHE,s,,,2009-03-21T12:44:15.780000Z,FAKI,GE,BHZ,p,,,56.87,False,,GE.FAKI.BH.gfz2009fpfk.mseed,,"{'starttime': 1237639425.78, 'endtime': 1237639726.5900002, 'p_time': 1237639455.78, 's_time': 1237639512.6499999, 'channel_type': 'BH'}",GE.FAKI.BH.gfz2009fpfk.npz
gfz2009fmdr,2009-03-19T20:22:28.180000Z,-9.44,117.809,120.3,4.34,mb,,"Sumbawa Region, Indonesia",21,2009-03-19T20:24:07.200000Z,JAGI,GE,BHE,s,,,2009-03-19T20:23:24.160000Z,JAGI,GE,BHZ,p,,,43.04,False,,GE.JAGI.BH.gfz2009fmdr.mseed,,"{'starttime': 1237494174.16, 'endtime': 1237494474.9699998, 'p_time': 1237494204.16, 's_time': 1237494247.2, 'channel_type': 'BH'}",GE.JAGI.BH.gfz2009fmdr.npz
gfz2009floe,2009-03-19T12:31:22.160000Z,0.642,123.685,253.7,4.48,mb,,"Minahassa Peninsula, Sulawesi",34,2009-03-19T12:32:34.960000Z,LUWI,GE,BHE,s,,,2009-03-19T12:32:03.850000Z,LUWI,GE,BHZ,p,,,31.11,False,,GE.LUWI.BH.gfz2009floe.mseed,,"{'starttime': 1237465893.85, 'endtime': 1237466194.66, 'p_time': 1237465923.85, 's_time': 1237465954.96, 'channel_type': 'BH'}",GE.LUWI.BH.gfz2009floe.npz
gfz2009floe,2009-03-19T12:31:22.160000Z,0.642,123.685,253.7,4.48,mb,,"Minahassa Peninsula, Sulawesi",34,2009-03-19T12:33:10.160000Z,TNTI,GE,BHZ,s,,,2009-03-19T12:32:23.700000Z,TNTI,GE,BHE,p,,,46.46,False,,GE.TNTI.BH.gfz2009floe.mseed,,"{'starttime': 1237465913.7, 'endtime': 1237466214.5100002, 'p_time': 1237465943.7, 's_time': 1237465990.16, 'channel_type': 'BH'}",GE.TNTI.BH.gfz2009floe.npz
gfz2009fgfn,2009-03-16T14:27:42.700000Z,3.602,126.801,64.3,5.19,mb,,"Talaud Islands, Indonesia",32,2009-03-16T14:28:59.680000Z,TNTI,GE,BHN,s,,,2009-03-16T14:28:24.200000Z,TNTI,GE,BHZ,p,,,35.48,False,,GE.TNTI.BH.gfz2009fgfn.mseed,,"{'starttime': 1237213674.2, 'endtime': 1237213975.01, 'p_time': 1237213704.2, 's_time': 1237213739.68, 'channel_type': 'BH'}",GE.TNTI.BH.gfz2009fgfn.npz
gfz2009ewtf,2009-03-11T09:54:52.080000Z,-1.802,139.145,10.0,4.68,mb,,Near North Coast of Irian Jaya,24,2009-03-11T09:57:53.910000Z,FAKI,GE,BHN,s,,,2009-03-11T09:56:34.160000Z,FAKI,GE,BHZ,p,,,79.75,False,,GE.FAKI.BH.gfz2009ewtf.mseed,,"{'starttime': 1236765364.16, 'endtime': 1236765664.9699998, 'p_time': 1236765394.16, 's_time': 1236765473.91, 'channel_type': 'BH'}",GE.FAKI.BH.gfz2009ewtf.npz
gfz2009eqqh,2009-03-08T01:34:32.150000Z,1.218,126.92,71.9,4.5,mb,,Northern Molucca Sea,24,2009-03-08T01:34:57.790000Z,TNTI,GE,BHE,s,,,2009-03-08T01:34:45.980000Z,TNTI,GE,BHZ,p,,,11.81,False,,GE.TNTI.BH.gfz2009eqqh.mseed,,"{'starttime': 1236476055.98, 'endtime': 1236476356.7900002, 'p_time': 1236476085.98, 's_time': 1236476097.7900002, 'channel_type': 'BH'}",GE.TNTI.BH.gfz2009eqqh.npz
gfz2009epev,2009-03-07T06:37:12.760000Z,4.69,96.673,13.9,4.66,mb,,"Northern Sumatra, Indonesia",27,2009-03-07T06:37:35.250000Z,LHMI,GE,BHE,s,,,2009-03-07T06:37:23.980000Z,LHMI,GE,BHZ,p,,,11.27,False,,GE.LHMI.BH.gfz2009epev.mseed,,"{'starttime': 1236407813.98, 'endtime': 1236408114.7900002, 'p_time': 1236407843.98, 's_time': 1236407855.2499998, 'channel_type': 'BH'}",GE.LHMI.BH.gfz2009epev.npz
gfz2009ennn,2009-03-06T08:44:16.260000Z,-6.856,130.462,116.2,4.84,mb,,Banda Sea,21,2009-03-06T08:46:05.820000Z,FAKI,GE,BHN,s,,,2009-03-06T08:45:19.270000Z,FAKI,GE,BHZ,p,,,46.55,False,,GE.FAKI.BH.gfz2009ennn.mseed,,"{'starttime': 1236329089.2700002, 'endtime': 1236329390.08, 'p_time': 1236329119.2700002, 's_time': 1236329165.82, 'channel_type': 'BH'}",GE.FAKI.BH.gfz2009ennn.npz
gfz2009enbu,2009-03-06T02:48:37.470000Z,4.173,127.402,10.0,4.6,mb,,"Talaud Islands, Indonesia",17,2009-03-06T02:50:12.560000Z,TNTI,GE,BHE,s,,,2009-03-06T02:49:31.300000Z,TNTI,GE,BHZ,p,,,41.26,False,,GE.TNTI.BH.gfz2009enbu.mseed,,"{'starttime': 1236307741.3, 'endtime': 1236308042.1100001, 'p_time': 1236307771.3, 's_time': 1236307812.56, 'channel_type': 'BH'}",GE.TNTI.BH.gfz2009enbu.npz
gfz2009eirv,2009-03-03T17:11:50.540000Z,1.985,99.021,10.0,3.91,mb,,"Northern Sumatra, Indonesia",12,2009-03-03T17:12:41.650000Z,GSI,GE,BHE,s,,,2009-03-03T17:12:17.080000Z,GSI,GE,BHZ,p,,,24.57,False,,GE.GSI.BH.gfz2009eirv.mseed,,"{'starttime': 1236100307.08, 'endtime': 1236100607.8899999, 'p_time': 1236100337.08, 's_time': 1236100361.6499999, 'channel_type': 'BH'}",GE.GSI.BH.gfz2009eirv.npz
gfz2009efga,2009-03-01T19:47:11.250000Z,-7.648,128.249,159.7,4.51,mb,,Banda Sea,22,2009-03-01T19:49:47.240000Z,MMRI,GE,BHN,s,,,2009-03-01T19:48:39.500000Z,MMRI,GE,BHZ,p,,,67.74,False,,GE.MMRI.BH.gfz2009efga.mseed,,"{'starttime': 1235936889.5, 'endtime': 1235937190.3100002, 'p_time': 1235936919.5, 's_time': 1235936987.24, 'channel_type': 'BH'}",GE.MMRI.BH.gfz2009efga.npz
gfz2009eavu,2009-02-27T10:02:15.500000Z,-0.191,123.062,113.7,4.77,mb,,"Minahassa Peninsula, Sulawesi",28,2009-02-27T10:02:52.140000Z,LUWI,GE,BHN,s,,,2009-02-27T10:02:36.350000Z,LUWI,GE,BHZ,p,,,15.79,False,,GE.LUWI.BH.gfz2009eavu.mseed,,"{'starttime': 1235728926.3500001, 'endtime': 1235729227.16, 'p_time': 1235728956.3500001, 's_time': 1235728972.14, 'channel_type': 'BH'}",GE.LUWI.BH.gfz2009eavu.npz
gfz2009eavu,2009-02-27T10:02:15.500000Z,-0.191,123.062,113.7,4.77,mb,,"Minahassa Peninsula, Sulawesi",28,2009-02-27T10:04:11.700000Z,TNTI,GE,BHN,s,,,2009-02-27T10:03:20.990000Z,TNTI,GE,BHZ,p,,,50.71,False,,GE.TNTI.BH.gfz2009eavu.mseed,,"{'starttime': 1235728970.99, 'endtime': 1235729271.8, 'p_time': 1235729000.99, 's_time': 1235729051.7, 'channel_type': 'BH'}",GE.TNTI.BH.gfz2009eavu.npz
gfz2009dygp,2009-02-26T00:03:32.380000Z,1.195,97.028,18.2,4.71,mb,,"Northern Sumatra, Indonesia",27,2009-02-26T00:03:53.240000Z,GSI,GE,BHE,s,,,2009-02-26T00:03:44.120000Z,GSI,GE,BHZ,p,,,9.12,False,,GE.GSI.BH.gfz2009dygp.mseed,,"{'starttime': 1235606594.12, 'endtime': 1235606894.9299998, 'p_time': 1235606624.12, 's_time': 1235606633.24, 'channel_type': 'BH'}",GE.GSI.BH.gfz2009dygp.npz
gfz2009dvue,2009-02-24T15:29:21.990000Z,1.39,96.917,16.9,4.45,mb,,Off West Coast of Northern Sumatra,21,2009-02-24T15:29:45.210000Z,GSI,GE,BHE,s,,,2009-02-24T15:29:35.890000Z,GSI,GE,BHZ,p,,,9.32,False,,GE.GSI.BH.gfz2009dvue.mseed,,"{'starttime': 1235489345.8899999, 'endtime': 1235489646.7, 'p_time': 1235489375.8899999, 's_time': 1235489385.2099998, 'channel_type': 'BH'}",GE.GSI.BH.gfz2009dvue.npz
gfz2009dvgr,2009-02-24T08:40:39.140000Z,3.65,126.915,72.8,4.81,mb,,"Talaud Islands, Indonesia",48,2009-02-24T08:41:56.600000Z,TNTI,GE,BHN,s,,,2009-02-24T08:41:22.350000Z,TNTI,GE,BHZ,p,,,34.25,False,,GE.TNTI.BH.gfz2009dvgr.mseed,,"{'starttime': 1235464852.3500001, 'endtime': 1235465153.16, 'p_time': 1235464882.3500001, 's_time': 1235464916.6, 'channel_type': 'BH'}",GE.TNTI.BH.gfz2009dvgr.npz
gfz2009dseu,2009-02-22T16:16:36.450000Z,3.624,126.758,68.3,4.77,mb,,"Talaud Islands, Indonesia",72,2009-02-22T16:17:53.900000Z,TNTI,GE,BHE,s,,,2009-02-22T16:17:19.100000Z,TNTI,GE,BHZ,p,,,34.8,False,,GE.TNTI.BH.gfz2009dseu.mseed,,"{'starttime': 1235319409.1, 'endtime': 1235319709.91, 'p_time': 1235319439.1, 's_time': 1235319473.9, 'channel_type': 'BH'}",GE.TNTI.BH.gfz2009dseu.npz
gfz2009dseu,2009-02-22T16:16:36.450000Z,3.624,126.758,68.3,4.77,mb,,"Talaud Islands, Indonesia",72,2009-02-22T16:20:11.510000Z,FAKI,GE,BHE,s,,,2009-02-22T16:18:37.660000Z,FAKI,GE,BHZ,p,,,93.85,False,,GE.FAKI.BH.gfz2009dseu.mseed,,"{'starttime': 1235319487.66, 'endtime': 1235319788.47, 'p_time': 1235319517.66, 's_time': 1235319611.5100002, 'channel_type': 'BH'}",GE.FAKI.BH.gfz2009dseu.npz
gfz2009dkli,2009-02-18T10:26:08.330000Z,3.616,126.744,69.0,5.12,mb,,"Talaud Islands, Indonesia",99,2009-02-18T10:27:25.080000Z,TNTI,GE,BHE,s,,,2009-02-18T10:26:50.830000Z,TNTI,GE,BHZ,p,,,34.25,False,,GE.TNTI.BH.gfz2009dkli.mseed,,"{'starttime': 1234952780.8300002, 'endtime': 1234953081.64, 'p_time': 1234952810.8300002, 's_time': 1234952845.08, 'channel_type': 'BH'}",GE.TNTI.BH.gfz2009dkli.npz
gfz2009dkli,2009-02-18T10:26:08.330000Z,3.616,126.744,69.0,5.12,mb,,"Talaud Islands, Indonesia",99,2009-02-18T10:29:43.970000Z,FAKI,GE,BHN,s,,,2009-02-18T10:28:09.020000Z,FAKI,GE,BHZ,p,,,94.95,False,,GE.FAKI.BH.gfz2009dkli.mseed,,"{'starttime': 1234952859.02, 'endtime': 1234953159.8300002, 'p_time': 1234952889.02, 's_time': 1234952983.9699998, 'channel_type': 'BH'}",GE.FAKI.BH.gfz2009dkli.npz
gfz2009dijd,2009-02-17T07:01:55.300000Z,2.352,128.253,114.4,5.21,mb,,"Halmahera, Indonesia",78,2009-02-17T07:02:48.950000Z,TNTI,GE,BHZ,s,,,2009-02-17T07:02:25.440000Z,TNTI,GE,BHZ,p,,,23.51,False,,GE.TNTI.BH.gfz2009dijd.mseed,,"{'starttime': 1234854115.44, 'endtime': 1234854416.2499998, 'p_time': 1234854145.44, 's_time': 1234854168.95, 'channel_type': 'BH'}",GE.TNTI.BH.gfz2009dijd.npz
gfz2009dhbx,2009-02-16T14:13:59.170000Z,3.492,126.957,67.4,5.0,mb,,"Talaud Islands, Indonesia",55,2009-02-16T14:15:14.260000Z,TNTI,GE,BHE,s,,,2009-02-16T14:14:38.920000Z,TNTI,GE,BHZ,p,,,35.34,False,,GE.TNTI.BH.gfz2009dhbx.mseed,,"{'starttime': 1234793648.92, 'endtime': 1234793949.7299998, 'p_time': 1234793678.92, 's_time': 1234793714.26, 'channel_type': 'BH'}",GE.TNTI.BH.gfz2009dhbx.npz
gfz2009dctr,2009-02-14T05:30:12.980000Z,4.088,126.873,63.0,5.06,mb,,"Talaud Islands, Indonesia",72,2009-02-14T05:31:41.120000Z,TNTI,GE,BHN,s,,,2009-02-14T05:31:01.940000Z,TNTI,GE,BHZ,p,,,39.18,False,,GE.TNTI.BH.gfz2009dctr.mseed,,"{'starttime': 1234589431.94, 'endtime': 1234589732.7500002, 'p_time': 1234589461.94, 's_time': 1234589501.12, 'channel_type': 'BH'}",GE.TNTI.BH.gfz2009dctr.npz
gfz2009dbad,2009-02-13T06:28:46.250000Z,3.946,126.829,68.0,5.02,mb,,"Talaud Islands, Indonesia",77,2009-02-13T06:30:12.290000Z,TNTI,GE,BHZ,s,,,2009-02-13T06:29:32.690000Z,TNTI,GE,BHZ,p,,,39.6,False,,GE.TNTI.BH.gfz2009dbad.mseed,,"{'starttime': 1234506542.6899998, 'endtime': 1234506843.5, 'p_time': 1234506572.6899998, 's_time': 1234506612.29, 'channel_type': 'BH'}",GE.TNTI.BH.gfz2009dbad.npz
gfz2009dagg,2009-02-12T20:25:03.030000Z,-8.326,121.311,195.7,5.2,mb,,"Flores Region, Indonesia",87,2009-02-12T20:25:54.920000Z,MMRI,GE,BHN,s,,,2009-02-12T20:25:32.660000Z,MMRI,GE,BHZ,p,,,22.26,False,,GE.MMRI.BH.gfz2009dagg.mseed,,"{'starttime': 1234470302.66, 'endtime': 1234470603.47, 'p_time': 1234470332.66, 's_time': 1234470354.92, 'channel_type': 'BH'}",GE.MMRI.BH.gfz2009dagg.npz
gfz2009daap,2009-02-12T17:34:27.820000Z,-7.045,129.763,114.3,4.94,mb,,Banda Sea,40,2009-02-12T17:36:30.320000Z,FAKI,GE,BHN,s,,,2009-02-12T17:35:37.580000Z,FAKI,GE,BHZ,p,,,52.74,False,,GE.FAKI.BH.gfz2009daap.mseed,,"{'starttime': 1234460107.58, 'endtime': 1234460408.39, 'p_time': 1234460137.58, 's_time': 1234460190.32, 'channel_type': 'BH'}",GE.FAKI.BH.gfz2009daap.npz
gfz2009cztu,2009-02-12T14:07:22.770000Z,3.945,126.743,68.3,5.05,mb,,"Talaud Islands, Indonesia",86,2009-02-12T14:08:50.170000Z,TNTI,GE,BHN,s,,,2009-02-12T14:08:10.030000Z,TNTI,GE,BHZ,p,,,40.14,False,,GE.TNTI.BH.gfz2009cztu.mseed,,"{'starttime': 1234447660.0300002, 'endtime': 1234447960.84, 'p_time': 1234447690.0300002, 's_time': 1234447730.1699998, 'channel_type': 'BH'}",GE.TNTI.BH.gfz2009cztu.npz
gfz2009czsb,2009-02-12T13:15:08.030000Z,4.012,126.626,44.6,6.27,M,,"Talaud Islands, Indonesia",178,2009-02-12T13:16:33.010000Z,TNTI,GE,BHE,s,,,2009-02-12T13:15:57.460000Z,TNTI,GE,BHZ,p,,,35.55,False,,GE.TNTI.BH.gfz2009czsb.mseed,,"{'starttime': 1234444527.46, 'endtime': 1234444828.2700002, 'p_time': 1234444557.46, 's_time': 1234444593.01, 'channel_type': 'BH'}",GE.TNTI.BH.gfz2009czsb.npz
gfz2009czpr,2009-02-12T12:03:09.180000Z,4.027,127.197,48.1,4.71,mb,,"Talaud Islands, Indonesia",31,2009-02-12T12:04:34.510000Z,TNTI,GE,BHZ,s,,,2009-02-12T12:03:58.060000Z,TNTI,GE,BHZ,p,,,36.45,False,,GE.TNTI.BH.gfz2009czpr.mseed,,"{'starttime': 1234440208.06, 'endtime': 1234440508.8700001, 'p_time': 1234440238.06, 's_time': 1234440274.5100002, 'channel_type': 'BH'}",GE.TNTI.BH.gfz2009czpr.npz
