filename,p_index,s_index,ps_interval_samples,ps_interval_seconds,data_length
GE.UGM.HL.gfz2009bkat.npz,3000,5084,2084,20.84,30085
GE.FAKI.BH.gfz2009brqi.npz,3001,7069,4068,40.68,30085
GE.LUWI.SH.gfz2024krts.npz,3000,4837,1837,18.37,30085
GE.FAKI.BL.gfz2020xost.npz,3001,6754,3753,37.53,30085
GE.FAKI.HH.gfz2009qogj.npz,3000,8344,5344,53.44,30085
GE.LUWI.SH.gfz2025dygb.npz,3000,6464,3464,34.64,30085
GE.SMRI.HH.gfz2009bbud.npz,3000,5522,2522,25.22,30085
GE.LUWI.BH.gfz2013uqzd.npz,3001,8915,5914,59.14,30085
GE.UGM.SL.gfz2016dbtc.npz,3000,5388,2388,23.88,30085
GE.UGM.SH.gfz2014kwfg.npz,3001,4692,1691,16.91,30085
GE.FAKI.BH.gfz2009yode.npz,3001,5932,2931,29.31,30085
GE.JAGI.BH.gfz2012ybmy.npz,3001,4672,1671,16.71,30085
GE.TOLI2.BL.gfz2013urzt.npz,3001,8458,5457,54.57,30085
GE.SOEI.BH.gfz2014mnzy.npz,3001,4703,1702,17.02,30085
GE.SANI.BL.gfz2017sglz.npz,3001,6687,3686,36.86,30085
GE.TNTI.BL.gfz2009eavu.npz,3002,8073,5071,50.71,30085
GE.UGM.SL.gfz2014cxla.npz,3000,5495,2495,24.95,30085
GE.BNDI.SH.gfz2017bxmp.npz,3001,5531,2530,25.3,30085
GE.GSI.BL.gfz2012yfdf.npz,3001,5559,2558,25.58,30085
GE.MNAI.BL.gfz2013uvlo.npz,3002,7637,4635,46.35,30085
GE.PLAI.BL.gfz2013vwga.npz,3001,3381,380,3.8,30085
GE.FAKI.HH.gfz2009atqt.npz,3000,6303,3303,33.03,30085
GE.LUWI.BH.gfz2014rsvi.npz,3000,6461,3461,34.61,30085
GE.TNTI.BH.gfz2009rdgk.npz,3001,5207,2206,22.06,30085
GE.PLAI.BH.gfz2012rbpj.npz,3001,15025,12024,120.24,30085
GE.BBJI.BH.gfz2024xqwc.npz,3001,4051,1050,10.5,30085
GE.LUWI.SH.gfz2025dlfh.npz,3000,5494,2494,24.94,30085
GE.SAUI.BL.gfz2020ugnr.npz,3001,6890,3889,38.89,30085
GE.BNDI.BL.gfz2020xost.npz,3001,4294,1293,12.93,30085
GE.LHMI.BL.gfz2009yhit.npz,3001,7651,4650,46.5,30085
GE.TNTI.BH.gfz2009eavu.npz,3002,8073,5071,50.71,30085
GE.JAGI.SH.gfz2012rjfs.npz,3000,5946,2946,29.46,30085
GE.LUWI.BH.gfz2013pxfu.npz,3001,4833,1832,18.32,30085
GE.MMRI.BH.gfz2009pxvj.npz,3001,8395,5394,53.94,30085
GE.BNDI.BH.gfz2012gezz.npz,3001,4821,1820,18.2,30085
GE.FAKI.SH.gfz2010kolf.npz,3000,8220,5220,52.2,30085
GE.LHMI.BL.gfz2010ncnk.npz,3002,7258,4256,42.56,30085
GE.BNDI.BL.gfz2018qhyw.npz,3001,4534,1533,15.33,30085
GE.SMRI.BH.gfz2009boyf.npz,3002,6155,3153,31.53,30085
GE.PLAI.SH.gfz2023qwer.npz,3000,8351,5351,53.51,30085
GE.SOEI.BH.gfz2024qram.npz,3000,9539,6539,65.39,30085
GE.FAKI.HL.gfz2009fpfk.npz,3000,8687,5687,56.87,30085
GE.SOEI.SH.gfz2021asjr.npz,3001,10212,7211,72.11,30085
GE.LUWI.HH.gfz2009qsnk.npz,3000,4949,1949,19.49,30085
GE.JAGI.BH.gfz2012rkxm.npz,3001,5806,2805,28.05,30085
GE.FAKI.BL.gfz2013avzn.npz,3001,7374,4373,43.73,30085
GE.BNDI.HH.gfz2015ycdd.npz,3000,3773,773,7.73,30085
GE.SOEI.BH.gfz2013fkbz.npz,3001,4113,1112,11.12,30085
GE.TNTI.SH.gfz2010occd.npz,3001,8129,5128,51.28,30085
GE.UGM.BL.gfz2011lnaf.npz,3001,4588,1587,15.87,30085
GE.FAKI.SH.gfz2024xsyn.npz,3000,13795,10795,107.95,30085
GE.SOEI.SH.gfz2014mnzy.npz,3001,4703,1702,17.02,30085
GE.MMRI.SH.gfz2013yfql.npz,3000,6280,3280,32.8,30085
GE.SMRI.BH.gfz2023qwer.npz,3001,11059,8058,80.58,30085
GE.SOEI.SH.gfz2024qram.npz,3000,9539,6539,65.39,30085
GE.SOEI.BL.gfz2010kolf.npz,3001,9898,6897,68.97,30085
GE.MNAI.BL.gfz2022gtxj.npz,3001,4372,1371,13.71,30085
GE.UGM.SH.gfz2011dovs.npz,3000,4468,1468,14.68,30085
GE.JAGI.BH.gfz2018mwlr.npz,3001,4850,1849,18.49,30085
GE.JAGI.BL.gfz2011lbik.npz,3001,6219,3218,32.18,30085
GE.PLAI.SH.gfz2019qkjz.npz,3000,4496,1496,14.96,30085
GE.TNTI.HL.gfz2009pxpn.npz,3000,7532,4532,45.32,30085
GE.TOLI2.BH.gfz2013bzko.npz,3001,6125,3124,31.24,30085
GE.TNTI.HL.gfz2011ywdf.npz,3000,4744,1744,17.44,30085
GE.UGM.BH.gfz2013ydaj.npz,3001,12147,9146,91.46,30085
GE.PLAI.SH.gfz2021asjr.npz,3001,9344,6343,63.43,30085
GE.TOLI2.BL.gfz2024uowt.npz,3001,4417,1416,14.16,30085
GE.UGM.SH.gfz2013dzkc.npz,3001,6843,3842,38.42,30085
GE.TNTI.HH.gfz2009pxxj.npz,3000,7921,4921,49.21,30085
GE.UGM.SH.gfz2013jbwd.npz,3000,6833,3833,38.33,30085
GE.LUWI.SH.gfz2024uowt.npz,3000,6761,3761,37.61,30085
GE.UGM.SH.gfz2018hcuv.npz,3000,4589,1589,15.89,30085
GE.FAKI.SH.gfz2010ghiq.npz,3000,7380,4380,43.8,30085
GE.JAGI.BH.gfz2023gnmu.npz,3000,4953,1953,19.53,30085
GE.FAKI.BL.gfz2009rhsi.npz,3001,7017,4016,40.16,30085
GE.UGM.SH.gfz2010bjpa.npz,3001,6717,3716,37.16,30085
GE.SOEI.SH.gfz2013nhsx.npz,3001,9573,6572,65.72,30085
GE.SOEI.BL.gfz2013pyhb.npz,3000,9330,6330,63.3,30085
GE.MMRI.SH.gfz2025fwkg.npz,3001,12143,9142,91.42,30085
GE.FAKI.BL.gfz2012xahl.npz,3001,6339,3338,33.38,30085
GE.SOEI.BL.gfz2021asjr.npz,3001,10212,7211,72.11,30085
GE.SANI.BH.gfz2012awsq.npz,3001,6605,3604,36.04,30085
GE.BKB.BH.gfz2024uowt.npz,3001,6848,3847,38.47,30085
GE.TNTI.BL.gfz2012rrwm.npz,3000,5826,2826,28.26,30085
GE.FAKI.HL.gfz2009dkli.npz,3000,12495,9495,94.95,30085
GE.SOEI.BH.gfz2009psbv.npz,3001,8428,5427,54.27,30085
GE.JAGI.SH.gfz2014ojjv.npz,3001,5941,2940,29.4,30085
GE.SOEI.BL.gfz2012heuj.npz,3001,9064,6063,60.63,30085
GE.UGM.SL.gfz2010ddjw.npz,3000,5718,2718,27.18,30085
GE.JAGI.BH.gfz2014ghxq.npz,3001,4669,1668,16.68,30085
GE.TOLI2.BH.gfz2024uowt.npz,3001,4417,1416,14.16,30085
GE.FAKI.BH.gfz2009aczt.npz,3001,13139,10138,101.38,30085
GE.BKNI.BH.gfz2009sjju.npz,3001,4591,1590,15.9,30085
GE.UGM.BH.gfz2009pvvt.npz,3001,5523,2522,25.22,30085
GE.PLAI.BH.gfz2025byqg.npz,3001,10088,7087,70.87,30085
GE.FAKI.SH.gfz2011ycjg.npz,3000,9819,6819,68.19,30085
GE.BBJI.SH.gfz2023ykoi.npz,3001,4950,1949,19.49,30085
GE.LUWI.BH.gfz2009bmox.npz,3001,8207,5206,52.06,30085
GE.LUWI.HH.gfz2009qkjn.npz,3000,5035,2035,20.35,30085
GE.TNTI.BH.gfz2009dijd.npz,3002,5353,2351,23.51,30085
GE.FAKI.HH.gfz2009aqpt.npz,3000,6400,3400,34.0,30085
GE.TNTI.SH.gfz2025czgt.npz,3001,4240,1239,12.39,30085
GE.MNAI.SH.gfz2025aeue.npz,3000,3867,867,8.67,30085
GE.LUWI.BH.gfz2009hmmo.npz,3000,10545,7545,75.45,30085
GE.BNDI.BL.gfz2010abkc.npz,3001,6066,3065,30.65,30085
GE.PLAI.SL.gfz2013yova.npz,3000,4427,1427,14.27,30085
GE.MNAI.BH.gfz2013xmza.npz,3001,4007,1006,10.06,30085
GE.UGM.BL.gfz2010fnia.npz,3001,4765,1764,17.64,30085
GE.LUWI.BH.gfz2010awor.npz,3001,6312,3311,33.11,30085
GE.SMRI.BL.gfz2012atnm.npz,3001,5342,2341,23.41,30085
GE.FAKI.SH.gfz2010abkc.npz,3000,7815,4815,48.15,30085
GE.BNDI.BH.gfz2024yvub.npz,3001,5643,2642,26.42,30085
GE.LUWI.HL.gfz2009qkjn.npz,3000,5035,2035,20.35,30085
GE.MMRI.SH.gfz2013ribh.npz,3000,4454,1454,14.54,30085
GE.TNTI.BL.gfz2009qghs.npz,3001,5192,2191,21.91,30085
GE.FAKI.BH.gfz2009bjlo.npz,3001,5961,2960,29.6,30085
GE.PLAI.SH.gfz2017dovr.npz,3000,4248,1248,12.48,30085
GE.JAGI.BH.gfz2024jllp.npz,3001,5313,2312,23.12,30085
GE.UGM.HL.gfz2009tinp.npz,3000,4960,1960,19.6,30085
GE.TNTI.BH.gfz2023qwer.npz,3002,17183,14181,141.81,30085
GE.TNTI.SH.gfz2014hjch.npz,3001,4447,1446,14.46,30085
GE.FAKI.BL.gfz2012cnkn.npz,3001,6386,3385,33.85,30085
GE.FAKI.BH.gfz2012amyi.npz,3001,7987,4986,49.86,30085
GE.MMRI.HL.gfz2009pxvj.npz,3000,8394,5394,53.94,30085
GE.SANI.BH.gfz2025dcky.npz,3001,9805,6804,68.04,30085
GE.LUWI.BL.gfz2012widq.npz,3001,5219,2218,22.18,30085
GE.UGM.BH.gfz2014bxsc.npz,3001,4752,1751,17.51,30085
GE.UGM.BL.gfz2010cvnw.npz,3001,4750,1749,17.49,30085
GE.MNAI.BL.gfz2018yajs.npz,3001,4976,1975,19.75,30085
GE.UGM.SH.gfz2014fpgw.npz,3000,4588,1588,15.88,30085
GE.PLAI.BL.gfz2012dcye.npz,3001,4107,1106,11.06,30085
GE.MMRI.BL.gfz2013ribh.npz,3001,4455,1454,14.54,30085
GE.PLAI.BL.gfz2012ilqg.npz,3001,4888,1887,18.87,30085
GE.BNDI.BH.gfz2012xahl.npz,3001,5813,2812,28.12,30085
GE.SANI.BH.gfz2013grue.npz,3002,11088,8086,80.86,30085
GE.PLAI.BH.gfz2012azkx.npz,3001,4448,1447,14.47,30085
GE.FAKI.HL.gfz2009frnu.npz,3000,8139,5139,51.39,30085
GE.FAKI.BH.gfz2009bjnh.npz,3001,6603,3602,36.02,30085
GE.UGM.BH.gfz2010bjpa.npz,3001,6717,3716,37.16,30085
GE.UGM.SL.gfz2010fnia.npz,3000,4764,1764,17.64,30085
GE.FAKI.HH.gfz2009blcy.npz,3000,5905,2905,29.05,30085
GE.BNDI.BL.gfz2017bxmp.npz,3001,5531,2530,25.3,30085
GE.SAUI.HL.gfz2009uvox.npz,3000,5704,2704,27.04,30085
GE.FAKI.BH.gfz2009oubh.npz,3001,8632,5631,56.31,30085
GE.SAUI.SH.gfz2016yliu.npz,3000,5294,2294,22.94,30085
GE.TOLI2.SH.gfz2013bzko.npz,3001,6125,3124,31.24,30085
GE.MNAI.HL.gfz2009awzb.npz,3000,7508,4508,45.08,30085
GE.JAGI.BL.gfz2012rjfs.npz,3002,5948,2946,29.46,30085
GE.JAGI.BH.gfz2012rjfs.npz,3002,5948,2946,29.46,30085
GE.SOEI.BL.gfz2025dcky.npz,3000,9361,6361,63.61,30085
GE.FAKI.BL.gfz2009byjb.npz,3002,7196,4194,41.94,30085
GE.PLAI.BH.gfz2014ghxq.npz,3001,5977,2976,29.76,30085
GE.TNTI.SH.gfz2024qrxn.npz,3001,4820,1819,18.19,30085
GE.SMRI.BH.gfz2010ddjw.npz,3000,6484,3484,34.84,30085
GE.BNDI.BH.gfz2015ycdd.npz,3001,3774,773,7.73,30085
GE.BBJI.BH.gfz2023ykoi.npz,3001,4950,1949,19.49,30085
GE.LUWI.BL.gfz2017cdvt.npz,3001,4261,1260,12.6,30085
GE.TNTI.BL.gfz2009czsb.npz,3001,6556,3555,35.55,30085
GE.JAGI.BL.gfz2018mwlr.npz,3001,4850,1849,18.49,30085
GE.FAKI.BL.gfz2024yekl.npz,3001,9241,6240,62.4,30085
GE.SANI.BH.gfz2025fshn.npz,3002,10028,7026,70.26,30085
GE.TNTI.BH.gfz2009hmmo.npz,3002,5880,2878,28.78,30085
GE.SAUI.SH.gfz2013glkx.npz,3001,6289,3288,32.88,30085
GE.TNTI.BH.gfz2009ayha.npz,3000,9659,6659,66.59,30085
GE.FAKI.SH.gfz2024quvs.npz,3001,8616,5615,56.15,30085
GE.MNAI.BL.gfz2009rjtx.npz,3001,8203,5202,52.02,30085
GE.LUWI.BH.gfz2009ayxo.npz,3001,8473,5472,54.72,30085
GE.BKB.BL.gfz2018ioof.npz,3001,5003,2002,20.02,30085
GE.SMRI.BH.gfz2015vcni.npz,3000,5257,2257,22.57,30085
GE.TOLI2.BH.gfz2014dieg.npz,3001,4424,1423,14.23,30085
GE.TNTI.BL.gfz2009algf.npz,3001,4727,1726,17.26,30085
GE.MMRI.BH.gfz2017ddhx.npz,3000,5417,2417,24.17,30085
GE.SAUI.SH.gfz2013qvir.npz,3000,6881,3881,38.81,30085
GE.SOEI.BH.gfz2009yode.npz,3000,12363,9363,93.63,30085
GE.SANI.BH.gfz2013ucyl.npz,3001,9919,6918,69.18,30085
GE.LUWI.SH.gfz2018hbkr.npz,3000,5899,2899,28.99,30085
GE.TNTI.BH.gfz2009pyad.npz,3001,7693,4692,46.92,30085
GE.LUWI.BL.gfz2009sbwy.npz,3001,4535,1534,15.34,30085
GE.JAGI.SH.gfz2024xkub.npz,3000,4169,1169,11.69,30085
GE.TNTI.HH.gfz2009dijd.npz,3000,5351,2351,23.51,30085
GE.SANI.SH.gfz2023kcmg.npz,3000,9600,6600,66.0,30085
GE.SANI.BH.gfz2018outm.npz,3001,5276,2275,22.75,30085
GE.TNTI.HH.gfz2009qsnk.npz,3000,7319,4319,43.19,30085
GE.TOLI2.BH.gfz2013pucg.npz,3000,6890,3890,38.9,30085
GE.UGM.SL.gfz2013dzkc.npz,3001,6843,3842,38.42,30085
GE.MMRI.HL.gfz2009iayl.npz,3000,8269,5269,52.69,30085
GE.PLAI.SH.gfz2018qgyg.npz,3000,4243,1243,12.43,30085
GE.MNAI.SH.gfz2014eigb.npz,3000,4117,1117,11.17,30085
GE.SAUI.SH.gfz2022bkjt.npz,3000,7936,4936,49.36,30085
GE.BNDI.BH.gfz2010abkc.npz,3001,6066,3065,30.65,30085
GE.BBJI.BH.gfz2019vhta.npz,3001,4175,1174,11.74,30085
GE.FAKI.HH.gfz2009dkli.npz,3000,12495,9495,94.95,30085
GE.LUWI.SH.gfz2012xqdd.npz,3001,9250,6249,62.49,30085
GE.PLAI.BH.gfz2011tdlh.npz,3002,4340,1338,13.38,30085
GE.LUWI.BH.gfz2018yfjp.npz,3001,5458,2457,24.57,30085
GE.UGM.BH.gfz2014fpgw.npz,3001,4589,1588,15.88,30085
GE.FAKI.BH.gfz2009agmj.npz,3001,6180,3179,31.79,30085
GE.SANI.SH.gfz2013hegz.npz,3001,6210,3209,32.09,30085
GE.JAGI.BH.gfz2010ddjw.npz,3000,5082,2082,20.82,30085
GE.TNTI.BH.gfz2009bmox.npz,3002,5029,2027,20.27,30085
GE.GSI.BL.gfz2013qpmq.npz,3001,5213,2212,22.12,30085
GE.SAUI.BH.gfz2012rbpj.npz,3001,5751,2750,27.5,30085
GE.FAKI.HL.gfz2009ayxo.npz,3000,8472,5472,54.72,30085
GE.TOLI2.BL.gfz2012yhuy.npz,3001,11978,8977,89.77,30085
GE.LUWI.BH.gfz2018hbkr.npz,3001,5900,2899,28.99,30085
GE.TNTI.BL.gfz2010uxfg.npz,3001,5790,2789,27.89,30085
GE.LUWI.SH.gfz2013qwcb.npz,3001,6054,3053,30.53,30085
GE.PLAI.BL.gfz2014esmj.npz,3001,6214,3213,32.13,30085
GE.TNTI.BL.gfz2017sglz.npz,3002,4663,1661,16.61,30085
GE.SANI.SH.gfz2010ghiq.npz,3000,9709,6709,67.09,30085
GE.SANI.SH.gfz2011xxju.npz,3001,5398,2397,23.97,30085
GE.FAKI.HL.gfz2009rhsi.npz,3000,7016,4016,40.16,30085
GE.LUWI.HH.gfz2009bmox.npz,3000,8206,5206,52.06,30085
GE.JAGI.BH.gfz2009bbud.npz,3001,8661,5660,56.6,30085
GE.LUWI.HL.gfz2009eavu.npz,3000,4579,1579,15.79,30085
GE.UGM.HH.gfz2009inbh.npz,3000,5968,2968,29.68,30085
GE.SAUI.BH.gfz2013qvir.npz,3001,6882,3881,38.81,30085
GE.SOEI.HH.gfz2009qfbt.npz,3000,8523,5523,55.23,30085
GE.LUWI.SH.gfz2017ukwz.npz,3000,4248,1248,12.48,30085
GE.FAKI.HH.gfz2009apup.npz,3000,5918,2918,29.18,30085
GE.FAKI.BL.gfz2010swgu.npz,3002,6260,3258,32.58,30085
GE.LHMI.BL.gfz2013hpoo.npz,3001,4475,1474,14.74,30085
GE.BNDI.SH.gfz2023dips.npz,3001,6332,3331,33.31,30085
GE.MNAI.BH.gfz2018yajs.npz,3001,4976,1975,19.75,30085
GE.BNDI.BL.gfz2015ycfz.npz,3002,3928,926,9.26,30085
GE.SMRI.SH.gfz2011lnaf.npz,3001,4922,1921,19.21,30085
GE.TOLI2.BH.gfz2024qmwb.npz,3001,11311,8310,83.1,30085
GE.LUWI.BH.gfz2009qsnk.npz,3001,4950,1949,19.49,30085
GE.TNTI.BL.gfz2010occd.npz,3000,8128,5128,51.28,30085
GE.TOLI2.BL.gfz2013yeit.npz,3002,8045,5043,50.43,30085
GE.BBJI.SH.gfz2018flos.npz,3000,4803,1803,18.03,30085
GE.UGM.BL.gfz2009rejp.npz,3002,6607,3605,36.05,30085
GE.TNTI.BL.gfz2012yhuy.npz,3002,7569,4567,45.67,30085
GE.PMBI.SH.gfz2011swwe.npz,3001,5674,2673,26.73,30085
GE.UGM.SL.gfz2010cvnw.npz,3000,4749,1749,17.49,30085
GE.MNAI.BH.gfz2009rjtx.npz,3001,8203,5202,52.02,30085
GE.PLAI.BL.gfz2012dgxi.npz,3002,4152,1150,11.5,30085
GE.PLAI.BH.gfz2012ilqg.npz,3001,4888,1887,18.87,30085
GE.BNDI.BH.gfz2023jjmg.npz,3002,11087,8085,80.85,30085
GE.GSI.BH.gfz2011kyss.npz,3000,7436,4436,44.36,30085
GE.PLAI.BH.gfz2024yrib.npz,3001,4448,1447,14.47,30085
GE.LUWI.HL.gfz2009bjnh.npz,3000,11852,8852,88.52,30085
GE.TNTI.HL.gfz2009fgfn.npz,3000,6548,3548,35.48,30085
GE.LUWI.BH.gfz2009oozo.npz,3002,4817,1815,18.15,30085
GE.PLAI.SH.gfz2024jllp.npz,3000,5342,2342,23.42,30085
GE.MNAI.BH.gfz2012wvgj.npz,3001,5308,2307,23.07,30085
GE.TNTI.HH.gfz2009bmox.npz,3000,5027,2027,20.27,30085
GE.FAKI.BL.gfz2009qyxl.npz,3002,8626,5624,56.24,30085
GE.FAKI.BH.gfz2014fbzr.npz,3000,5986,2986,29.86,30085
GE.LUWI.HH.gfz2009ilut.npz,3000,11427,8427,84.27,30085
GE.BKB.SH.gfz2018ioof.npz,3000,5002,2002,20.02,30085
GE.GSI.SH.gfz2013ycvv.npz,3000,6562,3562,35.62,30085
GE.SANI.SH.gfz2015thvg.npz,3000,6552,3552,35.52,30085
GE.FAKI.BH.gfz2009apup.npz,3002,5920,2918,29.18,30085
GE.SOEI.BH.gfz2010kolf.npz,3001,9898,6897,68.97,30085
GE.FAKI.HH.gfz2009bfhn.npz,3000,8535,5535,55.35,30085
GE.FAKI.BL.gfz2009amcp.npz,3001,6070,3069,30.69,30085
GE.BKNI.BH.gfz2019ckqw.npz,3001,4922,1921,19.21,30085
GE.GSI.BH.gfz2010ncnk.npz,3001,5453,2452,24.52,30085
GE.TNTI.BL.gfz2009rqxq.npz,3000,5610,2610,26.1,30085
GE.BBJI.SH.gfz2024kkci.npz,3000,8116,5116,51.16,30085
GE.FAKI.BH.gfz2012xahl.npz,3001,6339,3338,33.38,30085
GE.FAKI.HH.gfz2009amcp.npz,3000,6069,3069,30.69,30085
GE.BNDI.BL.gfz2023jjmg.npz,3002,11087,8085,80.85,30085
GE.MNAI.HL.gfz2009rjtx.npz,3000,8202,5202,52.02,30085
